feature,importance
scaled_4325,0.12880240937102022
scaled_4326,0.08856739162542475
scaled_4341,0.06006992426050451
scaled_4344,0.05865903263377697
scaled_4353,0.05570811054737239
scaled_4345,0.045093124015300044
scaled_4350,0.043737002901886035
scaled_4351,0.0363919129577777
scaled_4343,0.0357218067746152
scaled_4339,0.032824806610334975
scaled_4335,0.028924477903916876
scaled_4327,0.0273554220350259
scaled_4349,0.027242047679623148
scaled_4338,0.026135771246590923
scaled_4407,0.02604759313246983
scaled_4329,0.02483775162861958
scaled_4333,0.024774054343570096
scaled_4342,0.024002640295354486
scaled_4348,0.02380199246254173
scaled_4340,0.02366335518046972
scaled_4332,0.021911531052939935
scaled_4322,0.021058153043107816
scaled_4408,0.020240586483922657
scaled_4356,0.019511110035811505
scaled_4354,0.019247649391755755
scaled_4426,0.01564475122593277
scaled_4355,0.013909744623251459
scaled_4330,0.01363239375904722
scaled_4323,0.01248345277803585
